,lon,lat,year,month,"('prec',)","('temp',)"
2196,-46.0,-23.5,1994,1,1.4556925608115963,-0.28094003768497006
18323,-40.25,-7.75,2011,12,-0.5492737745854613,0.833459653550397
18828,-40.25,-7.25,1986,1,-0.21859676526693408,0.5590738472210146
19609,-40.0,-8.25,1983,2,0.20450995040588874,0.5838680140208158
13032,-40.75,-8.25,2013,1,0.10962091705325272,1.0465846925394628
3003,-46.0,-23.0,1993,4,-0.05453916008597272,-0.7370349047796709
27578,-39.25,-7.5,2001,3,0.7412580677936934,0.1392229831561568
22683,-39.75,-7.5,2001,4,-0.45868856347992115,0.29605054754736937
5679,-45.5,-23.5,2012,4,0.1024478799747597,-0.2868996308050106
9956,-45.0,-23.0,1994,9,-0.2542570067428707,-1.1586234415657073
145,-46.5,-23.5,1993,2,1.4599963830586915,-0.27279330324748574
7505,-45.25,-23.5,1994,6,0.09599214660411605,-0.9141214439499304
27324,-39.25,-7.75,2014,1,-0.4717025021794728,0.7111722364519601
16718,-40.5,-7.5,2014,3,0.3750232889574936,0.49734484471630525
19414,-40.0,-8.5,2000,11,-0.07062725753344995,1.206159236561737
3038,-46.0,-23.0,1996,3,2.01764877993239,-0.45145567671502773
26757,-39.25,-8.0,2000,10,-0.8777988727804407,1.366233231426013
19129,-40.25,-7.25,2011,2,0.9338028773720982,0.07972088479634269
8035,-45.25,-23.25,2004,8,-0.7784010732641805,-1.6546639707953545
8972,-45.25,-22.75,2014,9,-0.4893276790009127,-0.7270354827135991
18841,-40.25,-7.25,1987,2,0.06596786283270957,0.7596067048250322
7692,-45.25,-23.5,2010,1,1.6238490443231246,0.6881506742030453
15649,-40.5,-8.0,1993,2,-0.5489663587106688,1.195324609311569
14688,-40.5,-8.5,1981,1,-0.34289525064139137,0.9857921603635149
16466,-40.5,-7.5,1993,3,-0.011091049781958037,0.984465494064435
10047,-45.0,-23.0,2002,4,0.31384752987377473,-0.48390437360688937
16894,-40.25,-8.5,1994,11,-0.8982932644332777,1.6305701908664088
19918,-40.0,-8.25,2008,11,-0.88732876489901,1.9095056822097274
2610,-46.0,-23.25,1994,7,-0.53308320517972,-1.8453917610880213
6158,-45.5,-23.0,1984,3,0.41703679184580966,-0.44911450089311367
13046,-40.75,-8.25,2014,3,0.0372757145187376,0.7082847862715799
13269,-40.75,-8.0,1998,10,-0.923193950291475,1.573427291666221
17604,-40.25,-8.0,1986,1,-0.5153555564000158,0.7407490910022476
1683,-46.25,-23.0,1985,4,0.24713828504378996,-0.7726780060152311
7483,-45.25,-23.5,1992,8,-0.28766286513699524,-1.2134303675569318
16563,-40.5,-7.5,2001,4,-0.335004909855049,0.6435304643436492
21834,-39.75,-8.0,1998,7,-0.8435732387202026,0.6175252035750253
25094,-39.5,-7.5,1998,3,0.27767492860651716,0.5723405102119076
26980,-39.25,-7.75,1985,5,-0.007402059284447357,-0.38996079179251475
12031,-44.75,-22.5,1997,8,-0.7033915998147966,-1.8264282369304428
3920,-45.75,-23.5,2001,9,-0.16695089830178442,-0.8925904303076451
21626,-39.75,-8.0,1981,3,2.2171616826727596,0.7320867404611324
19597,-40.0,-8.25,1982,2,-0.21470283085289507,0.979928072352413
16561,-40.5,-7.5,2001,2,-0.008016891034032496,0.6344123277476973
12169,-44.75,-22.5,2009,2,1.693632447901035,-0.34830737196080996
19914,-40.0,-8.25,2008,7,-0.7820900637616912,0.21648178527959885
10892,-45.0,-22.5,2004,9,-0.6320711168629234,-0.8707368546632355
17838,-40.25,-8.0,2005,7,-0.8577143689606603,0.37318448696032225
15928,-40.5,-7.75,1982,5,-0.8113970438252482,0.603712266225691
23506,-39.5,-8.5,2001,11,-0.9105898994249801,1.7788680713464213
21943,-39.75,-8.0,2007,8,-0.8837422463597634,0.3778668386041744
2510,-46.0,-23.25,1986,3,1.5519137296216665,-0.43740862178349704
137,-46.5,-23.5,1992,6,-0.7977682733761116,-1.3055504335366526
3690,-45.75,-23.5,1982,7,-0.32793434473482025,-1.3521840546028867
18379,-40.25,-7.5,1982,8,-0.8918375310626341,0.22327119516319274
12589,-40.75,-8.5,2010,2,-0.4546921571076179,1.166812432337421
22045,-39.75,-7.75,1982,2,0.002332776750650313,0.3034982737751547
9624,-45.0,-23.25,2001,1,0.5809919250685068,-0.151316936344498
20652,-40.0,-7.5,2002,1,1.303316758872752,0.0009375312745704701
10447,-45.0,-22.75,2001,8,-0.38634336094540606,-1.5481404708978468
3874,-45.75,-23.5,1997,11,1.7986662051218254,-0.16134237147527675
21923,-39.75,-8.0,2005,12,-0.1829365237909974,1.0004635288475845
20440,-40.0,-7.5,1984,5,-0.6022517770080453,-0.2851541541644294
24800,-39.5,-7.75,2007,9,-0.9141764179642266,0.2950022210404498
14216,-40.75,-7.5,2009,9,-0.9223741746253615,1.2180940306405985
6260,-45.5,-23.0,1992,9,0.6005640690969665,-1.3867554175732955
8790,-45.25,-22.75,1999,7,-0.5548072603317273,-1.9338882071567116
10904,-45.0,-22.5,2005,9,-0.15936797339023473,-1.1370117874228967
3849,-45.75,-23.5,1995,10,1.5867541954314892,-0.9052535901977785
3148,-46.0,-23.0,2005,5,0.5592678699164997,-1.3456287623015142
8301,-45.25,-23.0,1992,10,0.7606252679056243,-0.9193006451293333
21179,-40.0,-7.25,2011,12,-0.6608657371351595,1.1332081979506083
27235,-39.25,-7.75,2006,8,-0.9075157406770545,0.04526379350297692
23849,-39.5,-8.25,1996,6,-0.7676415176464411,0.19783041789829034
25772,-39.25,-8.5,1986,9,-0.903929222137808,0.8007794403828148
4222,-45.75,-23.25,1992,11,1.13239353248809,-0.8548506760582449
5987,-45.5,-23.25,2003,12,0.7235304190139894,-0.26814160985846985
13260,-40.75,-8.0,1998,1,0.08277326398803603,0.7512063430068338
6191,-45.5,-23.0,1986,12,3.1231162656864258,-0.5252027151056237
15395,-40.5,-8.25,2005,12,-0.17822281371084492,0.9964835299502974
5215,-45.75,-22.75,2007,8,-0.9139714740476982,-1.7353564974576423
5632,-45.5,-23.5,2008,5,-0.10905424188251958,-1.333298569639382
5961,-45.5,-23.25,2001,10,0.4873325552150412,-0.7695434317203258
15094,-40.5,-8.5,2014,11,-0.0566910712095207,1.2531726483724122
3830,-45.75,-23.5,1994,3,1.7105403210146255,-0.3182427724476111
320,-46.5,-23.5,2007,9,-0.7174302580969901,-0.6663938263128456
12951,-40.75,-8.25,2006,4,0.589906985437491,0.3855615031388935
17196,-40.25,-8.25,1986,1,-0.5153555564000158,0.7407490910022476
18456,-40.25,-7.5,1989,1,-0.09419580793421263,0.22327119516319274
28079,-39.25,-7.25,2008,12,-0.14286998810970084,1.3162101080309445
9984,-45.0,-23.0,1997,1,2.056793067989309,-0.3792694222057322
2707,-46.0,-23.25,2002,8,-0.26327453907011905,-0.8833245766657712
7080,-45.5,-22.5,1993,1,1.1075953185881573,-0.5801423077267391
23115,-39.75,-7.25,2003,4,0.0038698561246130114,0.19549184338282807
11156,-44.75,-23.0,1992,9,0.869552959540454,-1.4205437872965914
