,Yobs,Yest_rf,Yest_sw,Yest_ann
7708,82.6198524199005,82.69763851156253,80.04177035271066,78.57631019986468
10699,118.329749672943,117.90848552860373,110.73265421672299,109.17826256405272
3798,81.8603801450806,80.57232037946035,81.2568935931488,82.5369968105357
11568,53.7719988603622,56.532520086718534,53.27686881549716,51.8003435516672
7296,85.3511943778607,85.81791842546532,90.22241095060731,89.0290436765141
3213,71.5289158352882,70.34648411270851,75.96390912442915,76.4065006428292
5299,55.6136403627538,56.00560495717061,57.97471445936606,57.92609893813881
11955,57.6827384573766,58.27033842480098,35.152077561340754,35.98173101371924
63,63.4452142299805,66.49310038025556,68.24621272021426,68.15020954799695
5358,48.2542182438502,47.190989173754964,50.48732301141766,50.834158150381995
3972,64.1134091048239,60.355106264449816,55.047726570954474,54.785347024190855
8754,86.0044577524938,88.88250542112412,86.81244804086744,86.74576432994684
7311,64.1652860712106,60.42160752663194,64.68730606404343,63.61049064297288
2161,87.0655831757861,84.29187342102196,83.7187084789889,82.8269512780322
9740,77.1058590753733,79.78100200945532,78.57374655540706,79.06207647735584
11903,88.6818184652459,86.53686852146055,88.44790545086556,88.72938885054111
2697,65.1184797485326,64.5164051589003,67.79238600261824,67.47104005495123
12038,87.5785174409832,84.02207971179703,88.94353146934576,87.41451156335154
220,44.2079745199407,46.99726048442792,41.775964105365176,42.67613441075639
9518,45.3504455388771,44.67648858632319,36.65604187263744,35.99711838819087
2210,68.0860634913891,66.7371520819229,69.83770444630152,69.30177951509188
7800,29.5213895589431,31.854672199589615,15.05273808405255,14.465984716722346
3332,56.504415632296,58.77966903879926,61.28363069165712,62.490726035411285
4371,34.7298508262052,34.90332464612555,27.132987176182564,26.697077336603456
10859,74.2982560285354,84.65741120394601,88.20917866635381,87.73306078700227
12340,88.7355797547227,85.46842114472166,90.12242691878086,90.45590472410515
5204,61.6281319064677,58.66765477414186,62.15306236136676,61.5561444963447
9456,91.0384996775148,88.99934220433983,89.33115249767062,88.0744540375955
4469,60.2682736908045,57.45682198057372,60.87962616589621,60.79393983759667
2657,90.8114021067541,90.7785932671837,90.69144684852522,90.1497906557612
1177,92.3897753155346,95.61684505884793,92.96150308664389,93.9771688813704
11853,101.685961136598,100.59983632264202,103.91058853068824,103.9290036033459
6672,104.707350357605,109.61509932728761,103.8160885978888,104.01726814244205
9616,52.4434392884301,52.2619493854254,55.14983985019649,54.945913858853714
11838,76.2546873076985,77.05650820177421,77.10972086748899,77.09826381379173
2080,103.979625330807,103.26050399499887,108.5876750728165,109.96748571029968
8952,57.0386866069907,54.582568882864265,54.22910585237715,55.49075564821362
11542,81.810965280453,84.61758839680952,87.34077205287369,85.53238984213488
4984,122.625777522188,122.31500177194697,109.76316139958807,110.29967795941968
2355,40.660831271651,41.45609762569506,36.58615604662594,37.089541303123156
5360,68.2430898159609,65.84771528430099,72.39930681230574,72.65372079518886
5151,66.3762011889266,66.1985303669342,67.62452829258591,66.69224077951014
12083,52.9245754170604,50.546127476086404,51.292242996903255,50.16119985287435
1939,69.5782734396881,69.4149164278757,71.51782920160436,72.01273125178125
6914,91.2195018613485,88.39842033839075,87.98223869000809,87.14863350148619
7326,46.4277873569375,49.12707010283543,46.63324762876293,45.76024191772888
7651,66.5831548809455,64.40380906256115,65.8450953490756,66.72688238159947
1851,92.5094400119327,92.23127398064294,87.0622495884581,87.08657223115245
