,lon,lat,year,month,"('prec',)","('temp',)"
14443,-60.0,-2.75,1994,8,-0.47279305489670864,-0.6977212062249779
8435,-60.75,-1.25,2003,12,-0.9973834438171078,0.2535528059369128
8160,-60.75,-1.25,1981,1,0.28596260990385347,-1.013872549529061
287,-61.25,-2.75,2004,12,0.348339826862081,0.24885283552111484
6873,-60.75,-2.25,2009,10,-1.2866051378806582,3.242733990398112
11889,-60.25,-2.5,1985,10,-0.41222096640350997,-0.36903660847865855
2313,-61.25,-1.5,2003,10,-0.45323749652556,0.4822846995068534
14512,-60.0,-2.75,2000,5,0.7357404524402694,-0.9114131944641406
2302,-61.25,-1.5,2002,11,-0.8329161836700127,0.80159024517893
10140,-60.5,-2.0,2010,1,0.43448456860985835,0.31465242134261445
5812,-60.75,-2.75,1989,5,2.688889451601748,-0.5667486973040633
11287,-60.5,-1.25,2003,8,-0.43147567003048715,-0.32109691023727754
9406,-60.5,-2.25,1982,11,-1.0379988342802624,0.20131002367046344
10973,-60.5,-1.5,2011,6,-0.9031156239766996,-0.5547063286609242
5395,-61.0,-1.25,1988,8,-1.0705914315655098,-0.16913120012580785
16920,-60.0,-1.25,1997,1,0.7469723628893393,-1.3046440525877834
10564,-60.5,-1.75,2011,5,-0.24484544372942355,-0.43076288660635154
11894,-60.25,-2.5,1986,3,1.0937575980043728,-1.232264508184122
4180,-61.0,-2.0,1989,5,2.9663778106426095,-0.7215343896650739
5304,-61.0,-1.25,1981,1,0.28044693959404254,-0.8239937447299944
14529,-60.0,-2.75,2001,10,-0.6167019075254169,2.011968404175559
3485,-61.0,-2.5,1999,6,-0.9058233166742433,-0.44106104400641094
9975,-60.5,-2.0,1996,4,1.5112436979997124,-0.39184713156339723
8913,-60.5,-2.75,2009,10,-1.3124786458794084,3.5805051976150386
16321,-60.0,-1.5,1981,2,0.9515535889259696,-0.9949719542140386
15204,-60.0,-2.25,1990,1,0.2782406714701181,-0.860966845334411
16686,-60.0,-1.5,2011,7,-0.9502495338969037,-0.38313651972606283
15106,-60.0,-2.25,1981,11,0.1046474840831536,0.2718931349373051
14661,-60.0,-2.75,2012,10,-1.4527772415780587,2.079334646802327
582,-61.25,-2.5,1995,7,-0.776756631424663,-0.46930264401612964
4219,-61.0,-2.0,1992,8,-0.6658415157400978,0.7260564984073751
13958,-60.25,-1.25,1988,3,0.5935364433618663,-0.3997430818620089
8562,-60.75,-1.25,2014,7,-0.8400364126154052,-0.4370295138275144
16943,-60.0,-1.25,1998,12,-0.4708876415169557,-0.517242342257414
11697,-60.25,-2.75,2003,10,-0.6626323984689347,0.4804047113404928
13393,-60.25,-1.75,2009,2,2.2440255698868,-0.6563950377829334
377,-61.25,-2.75,2012,6,-1.117123631997371,-0.3429569948602025
3648,-61.0,-2.5,2013,1,-0.6467873819425685,1.0672743505958269
16711,-60.0,-1.5,2013,8,-0.9275851431693163,-0.15941792793311266
10792,-60.5,-1.5,1996,5,1.5999958475303098,-0.8897933305513974
9496,-60.5,-2.25,1990,5,2.124586236450709,-0.26438393388638515
5702,-61.0,-1.25,2014,3,0.651400839157521,-0.40851635997152036
5054,-61.0,-1.5,1994,3,0.3768207426436512,-0.4332695374947967
