,etp
12977,108.639997141956
12768,115.556964341691
11194,125.406584640837
2458,137.477336565097
6857,114.693255863768
11776,129.389816189305
536,131.735788525453
13697,114.812662279301
16010,115.166962872226
2569,116.14197514137
15090,119.657091252946
15224,126.535022336007
7767,112.412670722237
1827,117.398955506603
12584,201.284455038458
1972,125.451873000077
13010,115.628181481848
10246,116.048168236751
4204,130.947722991583
4996,114.653400037374
11364,136.991979803045
4701,172.181681501315
13253,115.726973999772
5714,143.236154857581
5104,129.859396353549
5800,129.449509550248
7784,131.389012152783
4960,119.914208528654
4271,136.751339728882
956,151.602535660387
7033,102.001349190586
13957,114.673964305478
13919,111.748256627522
11147,167.740979278748
14819,175.642321703757
11000,125.148305417362
14469,132.420271772591
14081,114.876918262771
13290,109.262840277448
13062,110.9297443263
6356,140.295979130674
12788,137.909975032978
2852,160.961506239247
7286,146.313446734956
16647,118.409853612712
1736,126.412958336496
3984,146.946166988623
11535,119.310228115222
8104,129.152590489289
950,137.048988210033
11874,107.563731239441
5825,123.377675144966
8209,104.244501788639
14813,108.71604864435
4702,141.681037394661
13791,118.409853612712
1598,124.830691783258
12631,120.536585425508
10351,121.721788673064
16496,140.175337929416
1122,129.347161438489
14056,113.803374966517
12,117.891319415375
5435,170.832678309672
2965,113.244251682406
9064,129.544042314931
16150,129.886670670384
13679,133.540586471662
4560,116.231600211661
3262,150.972400802287
13720,125.976396821837
5640,112.957127667386
3849,157.069922672412
11557,112.792140719269
15975,119.971669856848
5436,174.637232659776
2864,132.394570894698
4230,128.527885254494
3501,141.181512560986
15230,124.173514615051
8499,117.981296476629
2282,126.775627456748
9155,142.116919194787
837,140.245099768951
6597,132.533384529889
17131,122.990299240394
13475,130.62879226844
11384,124.697336346125
14241,129.639537965768
16132,115.980087279781
276,133.745676467984
5617,139.375932982631
11772,125.287659798665
1173,175.253202567829
10332,156.695144540762
11775,123.311171260746
8911,151.065503814137
11550,108.884797870214
15758,119.853874510947
11252,123.441932666721
5892,125.668477530454
15932,164.415616851392
4982,134.446342541482
6952,120.180791616543
9847,125.823567904829
3081,142.142604065779
4223,136.133044296768
3296,144.113012029371
1356,158.784557386793
11636,136.943233537571
6071,142.305278553425
2232,112.890364800262
11212,116.040774879282
2278,126.706303637257
13509,129.045566987831
2312,127.743149998365
11357,109.438081757735
11487,114.838388554269
8222,117.941829337816
7039,129.405024562046
11778,117.499383783415
3637,102.429041091419
2801,122.044984502973
4824,114.197169289317
2486,123.761686578396
12152,176.257960416736
12000,119.915720858204
12127,199.650615279537
6155,123.402992218803
14610,116.761818101653
9050,134.368291774347
5698,123.404212518236
11703,117.006786903281
4315,136.857298063629
5625,142.071806916713
10546,194.962042597564
5987,156.957028936904
7977,128.778272325909
11245,104.400994004505
15709,132.912531492839
8782,149.511823942578
4905,136.45414997086
2133,133.453328675747
13006,136.975985982912
15699,111.708055730193
3996,126.161532907637
13313,113.65823074884
4151,131.966953176373
8181,138.034728450923
13746,114.275386200846
2733,135.304988749972
10457,110.609111805108
12086,120.30416177655
16386,108.883407587433
4721,114.293812234616
6546,119.696469080392
2438,124.134158031938
4893,149.022115712995
13232,140.11971235283
16927,127.838198806208
13602,123.560016139253
4327,141.441439042936
7251,123.825820477579
7609,123.910572552831
4330,158.156125978603
8318,120.619251286819
2195,125.851242083942
10679,119.093336826978
8761,110.207581850429
7081,109.000742300867
8737,125.766385727927
6591,118.976841830303
6709,108.557756582184
13875,115.545706007648
8100,127.905659459654
1416,120.581316555317
16507,127.303877746558
12292,113.102207053042
4156,128.493581249943
13026,114.596418577419
3679,142.072852615029
8274,113.716632386452
15008,176.257960416736
968,149.591443462544
11130,113.716632386452
15234,111.011484654443
12200,157.726904028927
229,110.948361514393
900,127.909039654389
15380,140.674241440979
12964,128.576638966171
1508,141.741283129924
8024,125.607544254378
12610,130.151856798102
1126,143.788443377501
12481,102.736140462824
5240,186.842492865807
16392,113.163693719688
587,133.037128972314
7465,114.39864167907
12813,134.183527944727
12057,131.648586493379
9989,119.534200853379
13096,118.425856225674
481,114.254303263251
6375,126.946768662675
16283,138.761907751284
4774,142.157539411384
4695,142.162990556157
14714,135.948993993965
15047,128.43405306899
12484,115.969963715967
5484,112.877450168656
15238,133.616654230851
1687,121.737952444669
1488,170.305962162931
13373,157.691701348481
10843,121.116330362021
10735,119.380844084636
3798,121.532182012609
13306,178.555910547142
4555,122.44024904884
9918,116.821930435354
15515,124.343638703093
1170,134.772382490997
4880,133.677562200045
5944,126.754812510624
12927,117.602432096234
6770,127.221343691833
9055,147.650491550701
2507,112.186055198937
10122,126.829349050944
12726,122.190902048513
1420,122.793300062099
12116,140.144111040421
7627,126.990147118784
16635,136.50473332933
4248,133.038378851777
7494,117.042105761135
766,138.671575076193
11925,131.976171460567
9121,115.456532038021
12475,119.051575112054
12283,117.502964448343
7530,109.665694661179
8732,144.922653874276
9474,115.170914431198
11457,135.977315238314
16858,152.102664910564
11787,111.574057945455
10348,123.253376953032
6863,124.603009545679
14939,134.471254244762
2294,124.355104542086
849,141.852370127647
15711,134.366840722788
12893,99.3166584861487
16381,104.863161339925
14213,104.611734571543
12431,123.709099308529
16383,119.992787741992
3985,133.144865175309
1987,135.608134301306
13066,140.574435898448
1703,123.402987415458
16709,122.516197238951
